Order_ID,Date,Region,Category,Product,Sales_Rep,Units_Sold,Unit_Price,Revenue,Discount,Profit,Month
1001,2024-01-03,North,Electronics,Laptop,Alice,5,850,4250,5,1062.5,1
1002,2024-01-07,South,Clothing,T-Shirt,Bob,120,25,3000,10,600.0,1
1003,2024-01-10,East,Electronics,Smartphone,Carol,30,600,18000,8,3600.0,1
1004,2024-01-15,West,Furniture,Office Chair,David,18,200,3600,5,900.0,1
1005,2024-01-20,North,Clothing,Jeans,Alice,60,55,3300,0,990.0,1
1006,2024-01-22,South,Electronics,Headphones,Bob,45,150,6750,10,1350.0,1
1007,2024-01-28,East,Furniture,Desk,Carol,10,350,3500,5,875.0,1
1008,2024-02-02,West,Electronics,Tablet,David,25,400,10000,8,2000.0,2
1009,2024-02-05,North,Clothing,Jacket,Alice,40,90,3600,5,900.0,2
1010,2024-02-10,South,Electronics,Laptop,Bob,8,850,6800,5,1700.0,2
1011,2024-02-14,East,Clothing,Dress,Carol,75,45,3375,0,843.75,2
1012,2024-02-18,West,Furniture,Bookshelf,David,15,180,2700,0,675.0,2
1013,2024-02-22,North,Electronics,Smartwatch,Alice,35,250,8750,10,1750.0,2
1014,2024-02-27,South,Furniture,Sofa,Bob,6,700,4200,5,1050.0,2
1015,2024-03-03,East,Electronics,Laptop,Carol,12,850,10200,5,2550.0,3
1016,2024-03-07,West,Clothing,Hoodie,David,90,60,5400,10,1080.0,3
1017,2024-03-12,North,Electronics,Smartphone,Alice,22,600,13200,8,2640.0,3
1018,2024-03-15,South,Clothing,T-Shirt,Bob,200,25,5000,15,750.0,3
1019,2024-03-20,East,Furniture,Office Chair,Carol,20,200,4000,0,1000.0,3
1020,2024-03-25,West,Electronics,Headphones,David,60,150,9000,10,1800.0,3
1021,2024-04-02,North,Clothing,Jeans,Alice,80,55,4400,5,1100.0,4
1022,2024-04-05,South,Electronics,Tablet,Bob,30,400,12000,8,2400.0,4
1023,2024-04-10,East,Furniture,Desk,Carol,8,350,2800,0,700.0,4
1024,2024-04-14,West,Electronics,Smartwatch,David,50,250,12500,10,2500.0,4
1025,2024-04-18,North,Furniture,Sofa,Alice,5,700,3500,5,875.0,4
1026,2024-04-22,South,Clothing,Jacket,Bob,55,90,4950,5,1237.5,4
1027,2024-04-28,East,Electronics,Laptop,Carol,10,850,8500,5,2125.0,4
1028,2024-05-02,West,Clothing,Dress,David,100,45,4500,10,900.0,5
1029,2024-05-07,North,Electronics,Smartphone,Alice,18,600,10800,8,2160.0,5
1030,2024-05-12,South,Furniture,Bookshelf,Bob,20,180,3600,0,900.0,5
1031,2024-05-15,East,Electronics,Headphones,Carol,70,150,10500,10,2100.0,5
1032,2024-05-20,West,Clothing,Hoodie,David,110,60,6600,10,1320.0,5
1033,2024-05-25,North,Furniture,Office Chair,Alice,12,200,2400,0,600.0,5
1034,2024-05-28,South,Electronics,Tablet,Bob,28,400,11200,8,2240.0,5
1035,2024-06-03,East,Clothing,Jeans,Carol,65,55,3575,5,893.75,6
1036,2024-06-07,West,Electronics,Laptop,David,15,850,12750,5,3187.5,6
1037,2024-06-10,North,Furniture,Desk,Alice,9,350,3150,0,787.5,6
1038,2024-06-15,South,Electronics,Smartwatch,Bob,40,250,10000,10,2000.0,6
1039,2024-06-20,East,Clothing,T-Shirt,Carol,180,25,4500,15,675.0,6
1040,2024-06-25,West,Furniture,Sofa,David,7,700,4900,5,1225.0,6
1041,2024-07-02,North,Electronics,Smartphone,Alice,25,600,15000,8,3000.0,7
1042,2024-07-07,South,Clothing,Jacket,Bob,48,90,4320,5,1080.0,7
1043,2024-07-10,East,Electronics,Headphones,Carol,80,150,12000,10,2400.0,7
1044,2024-07-15,West,Clothing,Dress,David,90,45,4050,10,810.0,7
1045,2024-07-20,North,Furniture,Bookshelf,Alice,18,180,3240,0,810.0,7
1046,2024-07-25,South,Electronics,Laptop,Bob,11,850,9350,5,2337.5,7
1047,2024-07-28,East,Clothing,Hoodie,Carol,95,60,5700,10,1140.0,7
1048,2024-08-03,West,Electronics,Tablet,David,22,400,8800,8,1760.0,8
1049,2024-08-07,North,Furniture,Office Chair,Alice,16,200,3200,0,800.0,8
1050,2024-08-12,South,Electronics,Smartwatch,Bob,55,250,13750,10,2750.0,8
1051,2024-08-15,East,Clothing,Jeans,Carol,72,55,3960,5,990.0,8
1052,2024-08-20,West,Electronics,Smartphone,David,20,600,12000,8,2400.0,8
1053,2024-08-25,North,Clothing,T-Shirt,Alice,150,25,3750,15,562.5,8
1054,2024-08-28,South,Furniture,Desk,Bob,11,350,3850,0,962.5,8
1055,2024-09-03,East,Electronics,Laptop,Carol,9,850,7650,5,1912.5,9
1056,2024-09-07,West,Clothing,Jacket,David,50,90,4500,5,1125.0,9
1057,2024-09-10,North,Electronics,Headphones,Alice,65,150,9750,10,1950.0,9
1058,2024-09-15,South,Furniture,Sofa,Bob,8,700,5600,5,1400.0,9
1059,2024-09-20,East,Clothing,Dress,Carol,85,45,3825,10,765.0,9
1060,2024-09-25,West,Electronics,Tablet,David,32,400,12800,8,2560.0,9
1061,2024-10-02,North,Furniture,Bookshelf,Alice,22,180,3960,0,990.0,10
1062,2024-10-07,South,Electronics,Smartwatch,Bob,45,250,11250,10,2250.0,10
1063,2024-10-10,East,Clothing,Hoodie,Carol,105,60,6300,10,1260.0,10
1064,2024-10-15,West,Electronics,Smartphone,David,28,600,16800,8,3360.0,10
1065,2024-10-20,North,Clothing,Jeans,Alice,88,55,4840,5,1210.0,10
1066,2024-10-25,South,Electronics,Laptop,Bob,14,850,11900,5,2975.0,10
1067,2024-10-28,East,Furniture,Office Chair,Carol,25,200,5000,0,1250.0,10
1068,2024-11-02,West,Clothing,T-Shirt,David,160,25,4000,15,600.0,11
1069,2024-11-07,North,Electronics,Headphones,Alice,75,150,11250,10,2250.0,11
1070,2024-11-10,South,Furniture,Desk,Bob,13,350,4550,0,1137.5,11
1071,2024-11-15,East,Electronics,Tablet,Carol,38,400,15200,8,3040.0,11
1072,2024-11-20,West,Clothing,Jacket,David,60,90,5400,5,1350.0,11
1073,2024-11-25,North,Furniture,Sofa,Alice,9,700,6300,5,1575.0,11
1074,2024-11-28,South,Electronics,Smartphone,Bob,32,600,19200,8,3840.0,11
1075,2024-12-03,East,Clothing,Dress,Carol,95,45,4275,10,855.0,12
1076,2024-12-07,West,Electronics,Laptop,David,18,850,15300,5,3825.0,12
1077,2024-12-10,North,Clothing,Hoodie,Alice,120,60,7200,10,1440.0,12
1078,2024-12-15,South,Electronics,Smartwatch,Bob,60,250,15000,10,3000.0,12
1079,2024-12-20,East,Furniture,Bookshelf,Carol,28,180,5040,0,1260.0,12
1080,2024-12-25,West,Electronics,Headphones,David,90,150,13500,10,2700.0,12
